,Evolution Group,Number,Name,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed,Evolving from,Evolving to,Level,Condition,Evolution Type
0,Bulbasaur,1,Bulbasaur,318,45,49,49,65,65,45,Bulbasaur,Ivysaur,16,,Level
1,Bulbasaur,2,Ivysaur,405,60,62,63,80,80,60,Ivysaur,Venusaur,32,,Level
2,Bulbasaur,3,Venusaur,525,80,82,83,100,100,80,,,,,
3,Charmander,4,Charmander,309,39,52,43,60,50,65,Charmander,Charmeleon,16,,Level
4,Charmander,5,Charmeleon,405,58,64,58,80,65,80,Charmeleon,Charizard,36,,Level
5,Charmander,6,Charizard,534,78,84,78,109,85,100,,,,,
6,Squirtle,7,Squirtle,314,44,48,65,50,64,43,Squirtle,Wartortle,16,,Level
7,Squirtle,8,Wartortle,405,59,63,80,65,80,58,Wartortle,Blastoise,36,,Level
8,Squirtle,9,Blastoise,530,79,83,100,85,105,78,,,,,
9,Caterpie,10,Caterpie,195,45,30,35,20,20,45,Caterpie,Metapod,7,,Level
10,Caterpie,11,Metapod,205,50,20,55,25,25,30,Metapod,Butterfree,10,,Level
11,Caterpie,12,Butterfree,385,60,45,50,80,80,70,,,,,
12,Weedle,13,Weedle,195,40,35,30,20,20,50,Weedle,Kakuna,7,,Level
13,Weedle,14,Kakuna,205,45,25,50,25,25,35,Kakuna,Beedrill,10,,Level
14,Weedle,15,Beedrill,385,65,80,40,45,80,75,,,,,
15,Pidgey,16,Pidgey,251,40,45,40,35,35,56,Pidgey,Pidgeotto,18,,Level
16,Pidgey,17,Pidgeotto,349,63,60,55,50,50,71,Pidgeotto,Pidgeot,36,,Level
17,Pidgey,18,Pidgeot,469,83,80,75,70,70,91,,,,,
18,Rattata,19,Rattata,253,30,56,35,25,35,72,Rattata,Raticate,20,,Level
19,Raticate,20,Raticate,413,55,81,60,50,70,97,,,,,
20,Spearow,21,Spearow,262,40,60,30,31,31,70,Spearow,Fearow,20,,Level
21,Fearow,22,Fearow,442,65,90,65,61,61,100,,,,,
22,Ekans,23,Ekans,288,35,60,44,40,54,55,Ekans,Arbok,22,,Level
23,Arbok,24,Arbok,438,60,85,69,65,79,80,,,,,
24,Pikachu,25,Pikachu,300,35,55,30,50,40,90,Pikachu,Raichu,,Thunderstone,Stone
25,Raichu,26,Raichu,475,60,90,55,90,80,100,,,,,
26,Sandshrew,27,Sandshrew,300,50,75,85,20,30,40,Sandshrew,Sandslash,22,,Level
27,Sandslash,28,Sandslash,450,75,100,110,45,55,65,,,,,
28,Nidoran♀,29,Nidoran♀,275,55,47,52,40,40,41,Nidoran♀,Nidorina,16,,Level
29,Nidoran♀,30,Nidorina,365,70,62,67,55,55,56,Nidorina,Nidoqueen,,Moon Stone,Stone
30,Nidoran♀,31,Nidoqueen,495,90,82,87,75,85,76,,,,,
31,Nidoran♂,32,Nidoran♂,273,46,57,40,40,40,50,Nidoran♂,Nidorino,16,,Level
32,Nidoran♂,33,Nidorino,365,61,72,57,55,55,65,Nidorino,Nidoking,,Moon Stone,Stone
33,Nidoran♂,34,Nidoking,495,81,92,77,85,75,85,,,,,
