,Month,Breakdown,Country,Number of Tourists
0,01/04/2010,Africa,Unknown,550
1,01/04/2011,Africa,Unknown,773
2,01/04/2012,Africa,Unknown,740
3,01/04/2013,Africa,Unknown,752
4,01/04/2014,Africa,Unknown,820
5,01/04/2015,Africa,Unknown,937
6,01/04/2016,Africa,Unknown,982
7,01/04/2017,Africa,Unknown,1452
8,01/04/2018,Africa,Unknown,1355
9,01/04/2019,Africa,Unknown,1833
10,01/04/2020,Africa,Unknown,0
11,01/08/2010,Africa,Unknown,345
12,01/08/2011,Africa,Unknown,421
13,01/08/2012,Africa,Unknown,524
14,01/08/2013,Africa,Unknown,788
15,01/08/2014,Africa,Unknown,818
16,01/08/2015,Africa,Unknown,975
17,01/08/2016,Africa,Unknown,1324
18,01/08/2017,Africa,Unknown,1631
19,01/08/2018,Africa,Unknown,1649
20,01/08/2019,Africa,Unknown,1825
21,01/08/2020,Africa,Unknown,163
22,01/12/2010,Africa,Unknown,774
23,01/12/2011,Africa,Unknown,891
24,01/12/2012,Africa,Unknown,1069
25,01/12/2013,Africa,Unknown,1009
26,01/12/2014,Africa,Unknown,972
27,01/12/2015,Africa,Unknown,1360
28,01/12/2016,Africa,Unknown,1536
29,01/12/2017,Africa,Unknown,2187
30,01/12/2018,Africa,Unknown,2361
31,01/12/2019,Africa,Unknown,3159
32,01/12/2020,Africa,Unknown,1996
33,01/02/2010,Africa,Unknown,303
34,01/02/2011,Africa,Unknown,325
35,01/02/2012,Africa,Unknown,359
36,01/02/2013,Africa,Unknown,386
37,01/02/2014,Africa,Unknown,458
38,01/02/2015,Africa,Unknown,395
39,01/02/2016,Africa,Unknown,595
40,01/02/2017,Africa,Unknown,676
41,01/02/2018,Africa,Unknown,708
42,01/02/2019,Africa,Unknown,1050
43,01/02/2020,Africa,Unknown,1118
44,01/01/2010,Africa,Unknown,350
45,01/01/2011,Africa,Unknown,381
46,01/01/2012,Africa,Unknown,386
47,01/01/2013,Africa,Unknown,536
48,01/01/2014,Africa,Unknown,532
49,01/01/2015,Africa,Unknown,605
50,01/01/2016,Africa,Unknown,658
51,01/01/2017,Africa,Unknown,877
52,01/01/2018,Africa,Unknown,1057
53,01/01/2019,Africa,Unknown,1453
54,01/01/2020,Africa,Unknown,1536
55,01/07/2010,Africa,Unknown,467
56,01/07/2011,Africa,Unknown,683
57,01/07/2012,Africa,Unknown,667
58,01/07/2013,Africa,Unknown,458
59,01/07/2014,Africa,Unknown,688
60,01/07/2015,Africa,Unknown,901
61,01/07/2016,Africa,Unknown,1019
62,01/07/2017,Africa,Unknown,1710
63,01/07/2018,Africa,Unknown,1595
64,01/07/2019,Africa,Unknown,1526
65,01/07/2020,Africa,Unknown,55
66,01/06/2010,Africa,Unknown,308
67,01/06/2011,Africa,Unknown,454
68,01/06/2012,Africa,Unknown,639
69,01/06/2013,Africa,Unknown,1046
70,01/06/2014,Africa,Unknown,712
71,01/06/2015,Africa,Unknown,754
72,01/06/2016,Africa,Unknown,493
73,01/06/2017,Africa,Unknown,880
74,01/06/2018,Africa,Unknown,1101
75,01/06/2019,Africa,Unknown,1549
76,01/06/2020,Africa,Unknown,0
77,01/03/2010,Africa,Unknown,500
78,01/03/2011,Africa,Unknown,568
79,01/03/2012,Africa,Unknown,487
80,01/03/2013,Africa,Unknown,666
81,01/03/2014,Africa,Unknown,619
82,01/03/2015,Africa,Unknown,707
83,01/03/2016,Africa,Unknown,827
84,01/03/2017,Africa,Unknown,1001
85,01/03/2018,Africa,Unknown,1115
86,01/03/2019,Africa,Unknown,1585
87,01/03/2020,Africa,Unknown,658
88,01/05/2010,Africa,Unknown,466
89,01/05/2011,Africa,Unknown,439
90,01/05/2012,Africa,Unknown,566
91,01/05/2013,Africa,Unknown,694
92,01/05/2014,Africa,Unknown,647
93,01/05/2015,Africa,Unknown,716
94,01/05/2016,Africa,Unknown,775
95,01/05/2017,Africa,Unknown,1141
96,01/05/2018,Africa,Unknown,859
97,01/05/2019,Africa,Unknown,734
98,01/05/2020,Africa,Unknown,0
99,01/11/2010,Africa,Unknown,520
100,01/11/2011,Africa,Unknown,483
101,01/11/2012,Africa,Unknown,487
102,01/11/2013,Africa,Unknown,462
103,01/11/2014,Africa,Unknown,437
104,01/11/2015,Africa,Unknown,482
105,01/11/2016,Africa,Unknown,686
106,01/11/2017,Africa,Unknown,929
107,01/11/2018,Africa,Unknown,949
108,01/11/2019,Africa,Unknown,1192
109,01/11/2020,Africa,Unknown,503
110,01/10/2010,Africa,Unknown,479
111,01/10/2011,Africa,Unknown,530
112,01/10/2012,Africa,Unknown,566
113,01/10/2013,Africa,Unknown,656
114,01/10/2014,Africa,Unknown,676
115,01/10/2015,Africa,Unknown,598
116,01/10/2016,Africa,Unknown,748
117,01/10/2017,Africa,Unknown,1000
118,01/10/2018,Africa,Unknown,1156
119,01/10/2019,Africa,Unknown,1059
120,01/10/2020,Africa,Unknown,270
121,01/09/2010,Africa,Unknown,566
122,01/09/2011,Africa,Unknown,504
123,01/09/2012,Africa,Unknown,605
124,01/09/2013,Africa,Unknown,818
125,01/09/2014,Africa,Unknown,770
126,01/09/2015,Africa,Unknown,818
127,01/09/2016,Africa,Unknown,1109
128,01/09/2017,Africa,Unknown,1194
129,01/09/2018,Africa,Unknown,1449
130,01/09/2019,Africa,Unknown,1730
131,01/09/2020,Africa,Unknown,159
132,01/04/2010,Americas,Unknown,1483
133,01/04/2011,Americas,Unknown,2158
134,01/04/2012,Americas,Unknown,2303
135,01/04/2013,Americas,Unknown,2809
136,01/04/2014,Americas,Unknown,3906
137,01/04/2015,Americas,Unknown,4578
138,01/04/2016,Americas,Unknown,3879
139,01/04/2017,Americas,Unknown,5294
140,01/04/2018,Americas,Unknown,5814
141,01/04/2019,Americas,Unknown,7393
142,01/04/2020,Americas,Unknown,0
143,01/08/2010,Americas,Unknown,1310
144,01/08/2011,Americas,Unknown,1790
145,01/08/2012,Americas,Unknown,2146
146,01/08/2013,Americas,Unknown,2312
147,01/08/2014,Americas,Unknown,2857
148,01/08/2015,Americas,Unknown,3179
149,01/08/2016,Americas,Unknown,3607
150,01/08/2017,Americas,Unknown,4739
151,01/08/2018,Americas,Unknown,4594
152,01/08/2019,Americas,Unknown,5310
153,01/08/2020,Americas,Unknown,970
154,01/12/2010,Americas,Unknown,2111
155,01/12/2011,Americas,Unknown,2854
156,01/12/2012,Americas,Unknown,3201
157,01/12/2013,Americas,Unknown,4066
158,01/12/2014,Americas,Unknown,5126
159,01/12/2015,Americas,Unknown,6220
160,01/12/2016,Americas,Unknown,5906
161,01/12/2017,Americas,Unknown,7141
162,01/12/2018,Americas,Unknown,7620
163,01/12/2019,Americas,Unknown,9165
164,01/12/2020,Americas,Unknown,4929
165,01/02/2010,Americas,Unknown,1618
166,01/02/2011,Americas,Unknown,1760
167,01/02/2012,Americas,Unknown,1839
168,01/02/2013,Americas,Unknown,2541
169,01/02/2014,Americas,Unknown,2914
170,01/02/2015,Americas,Unknown,3782
171,01/02/2016,Americas,Unknown,4111
172,01/02/2017,Americas,Unknown,4574
173,01/02/2018,Americas,Unknown,5780
174,01/02/2019,Americas,Unknown,8358
175,01/02/2020,Americas,Unknown,7460
176,01/01/2010,Americas,Unknown,1289
177,01/01/2011,Americas,Unknown,1734
178,01/01/2012,Americas,Unknown,2087
179,01/01/2013,Americas,Unknown,2396
180,01/01/2014,Americas,Unknown,3903
181,01/01/2015,Americas,Unknown,3689
182,01/01/2016,Americas,Unknown,4318
183,01/01/2017,Americas,Unknown,5474
184,01/01/2018,Americas,Unknown,6581
185,01/01/2019,Americas,Unknown,7239
186,01/01/2020,Americas,Unknown,8078
187,01/07/2010,Americas,Unknown,1433
188,01/07/2011,Americas,Unknown,1884
189,01/07/2012,Americas,Unknown,2209
190,01/07/2013,Americas,Unknown,2486
191,01/07/2014,Americas,Unknown,2748
192,01/07/2015,Americas,Unknown,3458
193,01/07/2016,Americas,Unknown,3960
194,01/07/2017,Americas,Unknown,5083
195,01/07/2018,Americas,Unknown,5117
196,01/07/2019,Americas,Unknown,5873
197,01/07/2020,Americas,Unknown,255
198,01/06/2010,Americas,Unknown,1215
199,01/06/2011,Americas,Unknown,1563
200,01/06/2012,Americas,Unknown,1831
201,01/06/2013,Americas,Unknown,2354
202,01/06/2014,Americas,Unknown,2788
203,01/06/2015,Americas,Unknown,3004
204,01/06/2016,Americas,Unknown,3276
205,01/06/2017,Americas,Unknown,4104
206,01/06/2018,Americas,Unknown,4683
207,01/06/2019,Americas,Unknown,5356
