,Name,Open Play Goals,Goals with right foot,Goals with left foot,Appearances,Total Goals,Headed goals,Open Play Goals/Game,Position,Rank by Position
0,Kortney Hause,1.0,1.0,0.0,18,1,0.0,0.05555555555555555,Defender,1
1,Aaron Cresswell,0.0,1.0,5.0,124,6,0.0,0.0,Defender,2
2,Luke Shaw,0.0,0.0,1.0,80,1,0.0,0.0,Defender,2
3,Mamadou Sakho,0.0,1.0,0.0,90,2,1.0,0.0,Defender,2
4,Marc Muniesa,0.0,0.0,1.0,10,1,0.0,0.0,Defender,2
5,Marcin Wasilewski,0.0,0.0,0.0,5,0,0.0,0.0,Defender,2
6,Marcos Alonso,0.0,1.0,9.0,80,12,2.0,0.0,Defender,2
7,Marcos Rojo,0.0,0.0,0.0,12,0,0.0,0.0,Defender,2
8,Markus Suttner,0.0,0.0,0.0,14,0,0.0,0.0,Defender,2
9,Martin Kelly,0.0,0.0,0.0,42,0,0.0,0.0,Defender,2
10,Martin Olsson,0.0,0.0,2.0,51,2,0.0,0.0,Defender,2
11,Martín Cáceres,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
12,Marvin Zeegelaar,0.0,0.0,0.0,12,0,0.0,0.0,Defender,2
13,Mason Holgate,0.0,0.0,0.0,50,0,0.0,0.0,Defender,2
14,Mathieu Debuchy,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
15,Luis Antonio Valencia,0.0,2.0,1.0,51,3,0.0,0.0,Defender,2
16,Matt Doherty,0.0,0.0,3.0,36,4,1.0,0.0,Defender,2
17,Matteo Darmian,0.0,0.0,0.0,24,0,0.0,0.0,Defender,2
18,Matthew Pennington,0.0,1.0,0.0,7,1,0.0,0.0,Defender,2
19,Max Aarons,0.0,0.0,0.0,36,0,0.0,0.0,Defender,2
20,Maximilian Kilman,0.0,0.0,0.0,3,0,0.0,0.0,Defender,2
21,Maya Yoshida,0.0,1.0,1.0,68,2,0.0,0.0,Defender,2
22,Micah Richards,0.0,0.0,0.0,24,1,1.0,0.0,Defender,2
23,Michael Dawson,0.0,2.0,0.0,22,3,1.0,0.0,Defender,2
24,Michael Hefele,0.0,0.0,0.0,2,0,0.0,0.0,Defender,2
25,Michael Keane,0.0,2.0,0.0,96,4,2.0,0.0,Defender,2
26,Miguel Britos,0.0,0.0,0.0,27,1,1.0,0.0,Defender,2
27,Molla Wagué,0.0,1.0,0.0,6,1,0.0,0.0,Defender,2
28,Moritz Bauer,0.0,0.0,0.0,15,0,0.0,0.0,Defender,2
29,Nacho Monreal,0.0,1.0,4.0,86,6,1.0,0.0,Defender,2
30,Nathan Aké,0.0,1.0,5.0,141,12,6.0,0.0,Defender,2
31,Matt Targett,0.0,0.0,1.0,60,2,1.0,0.0,Defender,2
32,Lucas Digne,0.0,0.0,4.0,35,4,0.0,0.0,Defender,2
33,Lloyd Kelly,0.0,0.0,0.0,8,0,0.0,0.0,Defender,2
34,Lewis Dunk,0.0,1.0,0.0,74,3,2.0,0.0,Defender,2
35,Jon Gorenc Stankovic,0.0,0.0,1.0,11,1,0.0,0.0,Defender,2
36,Jonjoe Kenny,0.0,0.0,0.0,12,0,0.0,0.0,Defender,2
37,Jonny,0.0,3.0,0.0,68,3,0.0,0.0,Defender,2
38,Jonny Evans,0.0,1.0,0.0,121,6,5.0,0.0,Defender,2
39,Jordan Amavi,0.0,0.0,0.0,10,0,0.0,0.0,Defender,2
40,Jordi Amat,0.0,0.0,0.0,17,0,0.0,0.0,Defender,2
41,Joseph Gomez,0.0,0.0,0.0,33,0,0.0,0.0,Defender,2
42,José Crespo,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
43,José Fonte,0.0,0.0,0.0,37,2,2.0,0.0,Defender,2
44,José Holebas,0.0,0.0,0.0,28,0,0.0,0.0,Defender,2
45,João Cancelo,0.0,0.0,0.0,17,0,0.0,0.0,Defender,2
46,Juan Camilo Zuñiga,0.0,1.0,0.0,21,1,0.0,0.0,Defender,2
47,Kayne Ramsay,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
48,Kelland Watts,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
