,Position,Team,Total GamesPlayed,Total Points,Goal Difference
0,1,Man City,32,74,44
1,2,Man Utd,32,66,29
2,3,Leicester,31,56,18
3,4,West Ham,32,55,11
4,5,Chelsea,31,54,19
5,6,Liverpool,32,53,16
6,7,Spurs,32,50,17
7,8,Everton,31,49,3
8,9,Arsenal,32,46,8
9,10,Leeds,32,46,0
10,11,Aston Villa,30,44,10
11,12,Wolves,32,41,-9
12,13,Crystal Palace,31,38,-19
13,14,Southampton,31,36,-17
14,15,Newcastle,32,35,-18
15,16,Brighton,31,33,-5
16,17,Burnley,32,33,-19
17,18,Fulham,33,27,-18
18,19,West Brom,31,24,-31
19,20,Sheffield Utd,32,14,-39
