,Date,Destination,Rolling Week Avg,Rolling Week Total
0,2021-01-01,London,163123.5,652494.0
1,2021-01-02,London,156324.8,781624.0
2,2021-01-03,London,168986.66666666666,1013920.0
3,2021-01-04,London,159290.85714285713,1115036.0
4,2021-01-05,London,149116.14285714287,1043813.0
5,2021-01-06,London,159008.7142857143,1113061.0
6,2021-01-07,London,166073.2857142857,1162513.0
7,2021-01-08,London,175575.7142857143,1229030.0
8,2021-01-09,London,190765.7142857143,1335360.0
9,2021-01-10,London,188118.2857142857,1316828.0
10,2021-01-11,London,205388.0,1437716.0
11,2021-01-12,London,204895.85714285713,1434271.0
12,2021-01-13,London,196013.14285714287,1372092.0
13,2021-01-14,London,197201.57142857142,1380411.0
14,2021-01-15,London,192126.0,1344882.0
15,2021-01-16,London,181020.42857142858,1267143.0
16,2021-01-17,London,170432.42857142858,1193027.0
17,2021-01-18,London,165661.2857142857,1159629.0
18,2021-01-19,London,159438.57142857142,1116070.0
19,2021-01-20,London,169539.2857142857,1186775.0
20,2021-01-21,London,164534.7142857143,1151743.0
21,2021-01-22,London,169513.2857142857,1186593.0
22,2021-01-23,London,176976.85714285713,1238838.0
23,2021-01-24,London,187127.57142857142,1309893.0
24,2021-01-25,London,177712.0,1243984.0
25,2021-01-26,London,194421.0,1360947.0
26,2021-01-27,London,193409.57142857142,1353867.0
27,2021-01-28,London,196276.85714285713,1373938.0
28,2021-01-29,London,191251.57142857142,1338761.0
29,2021-01-30,London,179455.57142857142,1256189.0
30,2021-01-31,London,164203.2857142857,1149423.0
31,2021-02-01,London,165984.0,1161888.0
32,2021-02-02,London,155382.85714285713,1087680.0
33,2021-02-03,London,155106.57142857142,1085746.0
34,2021-02-04,London,153096.57142857142,1071676.0
35,2021-02-05,London,141936.7142857143,993557.0
36,2021-02-06,London,150394.7142857143,1052763.0
37,2021-02-07,London,153392.7142857143,1073749.0
38,2021-02-08,London,152933.42857142858,1070534.0
39,2021-02-09,London,161399.7142857143,1129798.0
40,2021-02-10,London,163038.0,1141266.0
41,2021-02-11,London,153001.85714285713,1071013.0
42,2021-02-12,London,151300.85714285713,1059106.0
43,2021-02-13,London,156858.42857142858,1098009.0
44,2021-02-14,London,159594.85714285713,1117164.0
45,2021-02-15,London,156798.0,1097586.0
46,2021-02-16,London,154453.0,1081171.0
47,2021-02-17,London,161375.7142857143,1129630.0
48,2021-02-18,London,174691.0,1222837.0
49,2021-02-19,London,182774.42857142858,1279421.0
50,2021-02-20,London,179297.0,1255079.0
51,2021-02-21,London,193265.2857142857,1352857.0
52,2021-02-22,London,205891.57142857142,1441241.0
53,2021-02-23,London,211172.14285714287,1478205.0
54,2021-02-24,London,192058.7142857143,1344411.0
55,2021-02-25,London,179534.2857142857,1256740.0
56,2021-02-26,London,186911.42857142858,1308380.0
57,2021-02-27,London,177171.14285714287,1240198.0
58,2021-02-28,London,170775.14285714287,1195426.0
59,2021-03-01,London,176580.0,1236060.0
60,2021-03-02,London,178324.85714285713,1248274.0
61,2021-03-03,London,187438.42857142858,1312069.0
62,2021-03-04,London,189833.57142857142,1328835.0
63,2021-03-05,London,177119.14285714287,1239834.0
64,2021-03-06,London,185391.14285714287,1297738.0
65,2021-03-07,London,177011.85714285713,1239083.0
66,2021-03-08,London,161245.14285714287,1128716.0
67,2021-03-09,London,147176.0,1030232.0
68,2021-03-10,London,152330.0,1066310.0
69,2021-03-11,London,153406.85714285713,1073848.0
70,2021-03-12,London,162090.7142857143,1134635.0
71,2021-03-13,London,158965.14285714287,1112756.0
72,2021-03-14,London,155349.2857142857,1087445.0
73,2021-03-15,London,161681.2857142857,1131769.0
74,2021-03-16,London,159116.42857142858,1113815.0
75,2021-03-17,London,146147.42857142858,1023032.0
76,2021-03-18,London,144379.7142857143,1010658.0
77,2021-03-19,London,133257.57142857142,932803.0
78,2021-03-20,London,124161.42857142857,869130.0
79,2021-03-21,London,128622.85714285714,900360.0
80,2021-03-22,London,122970.42857142857,860793.0
81,2021-03-23,London,123968.0,867776.0
82,2021-03-24,London,132164.57142857142,925152.0
83,2021-03-25,London,149029.2857142857,1043205.0
84,2021-03-26,London,157104.85714285713,1099734.0
85,2021-03-27,London,160212.0,1121484.0
86,2021-03-28,London,168414.7142857143,1178903.0
87,2021-03-29,London,173854.33333333334,1043126.0
88,2021-03-30,London,180690.8,903454.0
89,2021-03-31,London,184121.25,736485.0
90,2021-01-01,New York,210739.25,842957.0
91,2021-01-02,New York,215581.4,1077907.0
92,2021-01-03,New York,202301.83333333334,1213811.0
93,2021-01-04,New York,200880.85714285713,1406166.0
94,2021-01-05,New York,191463.7142857143,1340246.0
95,2021-01-06,New York,192934.7142857143,1350543.0
96,2021-01-07,New York,194245.85714285713,1359721.0
97,2021-01-08,New York,191771.57142857142,1342401.0
98,2021-01-09,New York,185470.42857142858,1298293.0
99,2021-01-10,New York,188669.57142857142,1320687.0
100,2021-01-11,New York,187499.85714285713,1312499.0
101,2021-01-12,New York,187003.7142857143,1309026.0
102,2021-01-13,New York,192440.42857142858,1347083.0
103,2021-01-14,New York,183485.2857142857,1284397.0
104,2021-01-15,New York,181649.2857142857,1271545.0
105,2021-01-16,New York,175302.0,1227114.0
106,2021-01-17,New York,174810.2857142857,1223672.0
107,2021-01-18,New York,170375.2857142857,1192627.0
108,2021-01-19,New York,165764.14285714287,1160349.0
109,2021-01-20,New York,150529.85714285713,1053709.0
110,2021-01-21,New York,148565.57142857142,1039959.0
111,2021-01-22,New York,153377.2857142857,1073641.0
112,2021-01-23,New York,165281.7142857143,1156972.0
113,2021-01-24,New York,169394.0,1185758.0
114,2021-01-25,New York,177166.14285714287,1240163.0
115,2021-01-26,New York,183567.42857142858,1284972.0
116,2021-01-27,New York,199134.2857142857,1393940.0
117,2021-01-28,New York,211059.85714285713,1477419.0
118,2021-01-29,New York,209913.57142857142,1469395.0
119,2021-01-30,New York,200930.85714285713,1406516.0
120,2021-01-31,New York,201169.0,1408183.0
121,2021-02-01,New York,191925.57142857142,1343479.0
122,2021-02-02,New York,197813.7142857143,1384696.0
123,2021-02-03,New York,189642.2857142857,1327496.0
124,2021-02-04,New York,177561.85714285713,1242933.0
125,2021-02-05,New York,178928.2857142857,1252498.0
126,2021-02-06,New York,178625.57142857142,1250379.0
127,2021-02-07,New York,176731.7142857143,1237122.0
128,2021-02-08,New York,183861.14285714287,1287028.0
129,2021-02-09,New York,177196.2857142857,1240374.0
130,2021-02-10,New York,169251.0,1184757.0
131,2021-02-11,New York,170641.14285714287,1194488.0
132,2021-02-12,New York,163974.42857142858,1147821.0
133,2021-02-13,New York,164016.0,1148112.0
134,2021-02-14,New York,166494.57142857142,1165462.0
135,2021-02-15,New York,157503.14285714287,1102522.0
136,2021-02-16,New York,156016.57142857142,1092116.0
137,2021-02-17,New York,158114.7142857143,1106803.0
138,2021-02-18,New York,157932.14285714287,1105525.0
139,2021-02-19,New York,159817.0,1118719.0
140,2021-02-20,New York,157855.42857142858,1104988.0
141,2021-02-21,New York,158305.0,1108135.0
142,2021-02-22,New York,158167.14285714287,1107170.0
143,2021-02-23,New York,168117.0,1176819.0
144,2021-02-24,New York,165609.0,1159263.0
145,2021-02-25,New York,169305.2857142857,1185137.0
146,2021-02-26,New York,179988.7142857143,1259921.0
147,2021-02-27,New York,177674.0,1243718.0
148,2021-02-28,New York,176221.57142857142,1233551.0
149,2021-03-01,New York,183626.14285714287,1285383.0
150,2021-03-02,New York,171303.7142857143,1199126.0
151,2021-03-03,New York,188505.7142857143,1319540.0
152,2021-03-04,New York,191333.85714285713,1339337.0
153,2021-03-05,New York,192492.57142857142,1347448.0
154,2021-03-06,New York,207902.85714285713,1455320.0
155,2021-03-07,New York,215149.7142857143,1506048.0
156,2021-03-08,New York,223918.14285714287,1567427.0
157,2021-03-09,New York,234442.0,1641094.0
158,2021-03-10,New York,218427.7142857143,1528994.0
159,2021-03-11,New York,209920.57142857142,1469444.0
160,2021-03-12,New York,205905.7142857143,1441340.0
161,2021-03-13,New York,193205.57142857142,1352439.0
162,2021-03-14,New York,177775.85714285713,1244431.0
163,2021-03-15,New York,169009.42857142858,1183066.0
164,2021-03-16,New York,167111.0,1169777.0
165,2021-03-17,New York,169611.0,1187277.0
166,2021-03-18,New York,181437.85714285713,1270065.0
167,2021-03-19,New York,171929.7142857143,1203508.0
168,2021-03-20,New York,174599.2857142857,1222195.0
169,2021-03-21,New York,186224.7142857143,1303573.0
170,2021-03-22,New York,195217.57142857142,1366523.0
171,2021-03-23,New York,183617.2857142857,1285321.0
172,2021-03-24,New York,180108.14285714287,1260757.0
173,2021-03-25,New York,166905.7142857143,1168340.0
174,2021-03-26,New York,169590.42857142858,1187133.0
175,2021-03-27,New York,178532.2857142857,1249726.0
176,2021-03-28,New York,174800.42857142858,1223603.0
177,2021-03-29,New York,163330.5,979983.0
178,2021-03-30,New York,170670.2,853351.0
179,2021-03-31,New York,181275.75,725103.0
180,2021-01-01,Perth,112465.25,449861.0
181,2021-01-02,Perth,115022.2,575111.0
182,2021-01-03,Perth,108085.0,648510.0
183,2021-01-04,Perth,102687.14285714286,718810.0
184,2021-01-05,Perth,104282.14285714286,729975.0
185,2021-01-06,Perth,99049.42857142857,693346.0
186,2021-01-07,Perth,100070.28571428571,700492.0
187,2021-01-08,Perth,94916.71428571429,664417.0
188,2021-01-09,Perth,84829.85714285714,593809.0
