,Latitude,Longitude,Medal Ceremony?,Sport Group,Events Split,Time,Date,Sport,Venue
0,37.72216480340486, 140.3640114979229,False,Baseball,Australia vs Japan,01:00:00,2021-07-21,Baseball/Softball,Fukushima Azuma Baseball Stadium
1,43.01517544330762, 141.41041300340524,False,Football,Women's Group E: Great Britain vs Chile,08:30:00,2021-07-21,Football,Sapporo Dome
2,38.33557331725407, 140.95096377309127,False,Football,Women's Group F: China vs Brazil,09:00:00,2021-07-21,Football,Miyagi Stadium
3,35.66446761779039, 139.52756286092847,False,Football,Women's Group G: Sweden vs United States,09:30:00,2021-07-21,Football,Tokyo Stadium
4,37.72216480340486, 140.3640114979229,False,Baseball,United States vs Canada,01:00:00,2021-07-22,Baseball/Softball,Fukushima Azuma Baseball Stadium
5,43.01517544330762, 141.41041300340524,False,Football,Men's Group C: Egypt vs Spain,08:30:00,2021-07-22,Football,Sapporo Dome
6,35.99213056967567, 140.64152126184229,False,Football,Men's Group B: New Zealand vs Republic of Korea,09:00:00,2021-07-22,Football,Ibaraki Kashima Stadium
7,35.66446761779039, 139.52756286092847,False,Football,Men's Group A: Mexico vs France,09:00:00,2021-07-22,Football,Tokyo Stadium
8,35.99213056967567, 140.64152126184229,False,Football,Men's Group D: Côte d'Ivoire vs Saudi Arabia,09:30:00,2021-07-22,Football,Ibaraki Kashima Stadium
9,35.60796457817903, 139.8147625026683,False,Rowing,Men's Single Sculls Heats,00:30:00,2021-07-23,Rowing,Sea Forest Waterway
10,35.65025376166539, 139.82892847281852,False,Archery,Women's Individual Ranking Round,01:00:00,2021-07-23,Archery,Yumenoshima Park Archery Field
11,35.65025376166539, 139.82892847281852,False,Archery,Men's Individual Ranking Round,05:00:00,2021-07-23,Archery,Yumenoshima Park Archery Field
12,35.67786383266573, 139.71366292613558,False,Ceremony,-,12:00:00,2021-07-23,Opening Ceremony,Olympic Stadium
13,35.7811380207295, 139.58779467064903,False,Shooting,10m Air Rifle Women's Qualification,00:30:00,2021-07-24,Shooting,Asaka Shooting Range
14,35.60796457817903, 139.8147625026683,False,Rowing,Women's Single Sculls Repechages,00:30:00,2021-07-24,Rowing,Sea Forest Waterway
15,35.66516093172041, 139.52508181634872,False,Badminton,Men's Singles Group Play Stage,01:00:00,2021-07-24,Badminton,Musashino Forest Sport Plaza
16,35.66773432212354, 139.70019944667044,False,Handball,Men's Preliminary Round Group A: Norway vs Brazil,01:00:00,2021-07-24,Handball,Yoyogi National Stadium
17,35.62426208355979, 139.76843705331703,False,Volleyball,Men's or Women's Preliminaries (4 matches),01:00:00,2021-07-24,Beach Volleyball,Shiokaze Park
18,35.64977449961884, 140.03645074412134,False,Fencing,Women's Epée Individual Table of 64,01:00:00,2021-07-24,Fencing,Makuhari Messe Hall
19,35.643512573489566, 139.79473745950065,False,Volleyball,Men's Preliminary Round Pool A: Italy vs Canada,01:00:00,2021-07-24,Volleyball,Ariake Arena
20,35.679538129089025, 139.71224149090568,False,Tennis,Men's Singles Preliminary Round,01:00:00,2021-07-24,Table Tennis,Tokyo Metropolitan Gymnasium
21,35.65025376166539, 139.82892847281852,False,Archery,Mixed Team 1/8 Eliminations,01:30:00,2021-07-24,Archery,Yumenoshima Park Archery Field
22,35.59269081886343, 139.75405101776522,False,Hockey,Men's Pool A: Japan vs Australia,01:30:00,2021-07-24,Hockey,Oi Hockey Stadium
23,35.67697382447295, 139.76380194086386,False,Weightlifting,Women's 49 kg Group B,01:50:00,2021-07-24,Weightlifting,Tokyo International Forum
24,35.64167062421445, 139.79257372832834,False,Gymnastics,Men's Qualification,02:00:00,2021-07-24,Artistic Gymnastics,Ariake Gymnastics Centre
25,35.64977449961884, 140.03645074412134,False,Martial Arts,Women -49 kg Round of 16 (8 matches),02:00:00,2021-07-24,Taekwondo,Makuhari Messe Hall
26,35.44332814187166, 139.64046498472052,False,Baseball,Softball Opening Round: Australia vs Canada,02:00:00,2021-07-24,Baseball/Softball,Yokohama Baseball Stadium
27,35.59269081886343, 139.75405101776522,False,Hockey,Men's Pool A: New Zealand vs India,02:00:00,2021-07-24,Hockey,Oi Hockey Stadium
28,35.62349586496833, 139.7773659975334,False,Basketball,Women's Pool Round (2 games),02:15:00,2021-07-24,3x3 Basketball,Aomi Urban Sports Park
29,35.69708642863296, 139.79336043405075,False,Boxing,Women's Feather (54-57kg) - Preliminaries - Round of 32,03:00:00,2021-07-24,Boxing,Kokugikan Arena
30,35.69328639505304, 139.74961103902368,False,Martial Arts,Women -48 kg Elimination Rounds,03:00:00,2021-07-24,Judo,Nippon Budokan
31,35.372702911045124, 138.92936859906928,False,Cycling,Men's Road Race,03:00:00,2021-07-24,Cycling Road,Fuji international Speedway
32,35.63522638292027, 139.78961039488578,False,Tennis,Men's Singles First Round,03:00:00,2021-07-24,Tennis,Ariake Tennis Park
33,35.67697382447295, 139.76380194086386,False,Weightlifting,Women's 49 kg Group A,05:50:00,2021-07-24,Weightlifting,Tokyo International Forum
34,35.647754733125474, 139.8195228619168,False,Water Polo,Women's Preliminary Round - Group B: Japan vs United States,06:00:00,2021-07-24,Water Polo,Tatsumi Water Polo Centre
35,35.62349586496833, 139.7773659975334,False,Basketball,Women's Pool Round (2 games),06:00:00,2021-07-24,3x3 Basketball,Aomi Urban Sports Park
36,35.679538129089025, 139.71224149090568,False,Tennis,Men's Singles Round 1,06:15:00,2021-07-24,Table Tennis,Tokyo Metropolitan Gymnasium
37,35.643512573489566, 139.79473745950065,False,Volleyball,Men's Preliminary Round - Pool B: ROC vs Argentina,06:20:00,2021-07-24,Volleyball,Ariake Arena
38,35.66773432212354, 139.70019944667044,False,Handball,Men's Preliminary Round Group B: Sweden vs Bahrain,06:15:00,2021-07-24,Handball,Yoyogi National Stadium
39,35.65025376166539, 139.82892847281852,False,Archery,Mixed Team: Quarterfinals,06:15:00,2021-07-24,Archery,Yumenoshima Park Archery Field
