,Brand,Bike Type,Quantity Sold,Order Value,Avg Bike Value per Brand
0,BROM,Gravel,186,433885,2332.72
1,BROM,Mountain,277,674770,2435.99
2,BROM,Road,257,656539,2554.63
3,GIA,Gravel,323,733087,2269.62
4,GIA,Mountain,425,1021329,2403.13
5,GIA,Road,407,896695,2203.18
6,KONA,Gravel,324,791841,2443.95
7,KONA,Mountain,330,820537,2486.48
8,KONA,Road,273,647684,2372.47
9,ORRO,Gravel,151,411644,2726.12
10,ORRO,Mountain,87,206550,2374.14
11,ORRO,Road,84,181300,2158.33
12,SPEC,Gravel,974,2295397,2356.67
13,SPEC,Mountain,960,2344504,2442.19
14,SPEC,Road,937,2195597,2343.22
