,Store,Customer Type,Product,Products Sold
0,Birmingham,Existing , Bags,218.0
1,Birmingham,Existing , Mudguards,266.0
2,Birmingham,Existing , Saddles,185.0
3,Birmingham,Existing , Wheels,78.0
4,Birmingham,New , Bags,312.0
5,Birmingham,New , Mudguards,256.0
6,Birmingham,New , Saddles,123.0
7,Birmingham,New , Wheels,137.0
8,Leeds,Existing , Bags,246.0
9,Leeds,Existing , Mudguards,180.0
10,Leeds,Existing , Saddles,146.0
11,Leeds,Existing , Wheels,108.0
12,Leeds,New , Bags,233.0
13,Leeds,New , Mudguards,270.0
14,Leeds,New , Saddles,106.0
15,Leeds,New , Wheels,158.0
16,London,Existing , Bags,229.0
17,London,Existing , Mudguards,182.0
18,London,Existing , Saddles,163.0
19,London,Existing , Wheels,129.0
20,London,New , Bags,251.0
21,London,New , Mudguards,291.0
22,London,New , Saddles,123.0
23,London,New , Wheels,115.0
24,Manchester,Existing , Bags,171.0
25,Manchester,Existing , Mudguards,258.0
26,Manchester,Existing , Saddles,152.0
27,Manchester,Existing , Wheels,138.0
28,Manchester,New , Bags,286.0
29,Manchester,New , Mudguards,180.0
30,Manchester,New , Saddles,97.0
31,Manchester,New , Wheels,123.0
32,York,Existing , Bags,130.0
33,York,Existing , Mudguards,269.0
34,York,Existing , Saddles,110.0
35,York,Existing , Wheels,137.0
36,York,New , Bags,305.0
37,York,New , Mudguards,301.0
38,York,New , Saddles,94.0
39,York,New , Wheels,95.0
