,Quarter,Rank,Store,Products Sold,Target,Variance to Target
0,1,1,York,499.0,490.0,9.0
1,1,2,Birmingham,477.0,475.0,2.0
2,1,3,Leeds,488.0,490.0,-2.0
3,1,4,Manchester,440.0,475.0,-35.0
4,1,5,London,425.0,475.0,-50.0
5,2,1,York,329.0,300.0,29.0
6,2,2,Birmingham,346.0,325.0,21.0
7,2,3,Leeds,331.0,325.0,6.0
8,2,4,London,324.0,325.0,-1.0
9,2,5,Manchester,288.0,300.0,-12.0
10,3,1,Manchester,350.0,300.0,50.0
11,3,2,Birmingham,348.0,300.0,48.0
12,3,3,London,312.0,300.0,12.0
13,3,4,Leeds,279.0,300.0,-21.0
14,3,5,York,273.0,300.0,-27.0
15,4,1,London,422.0,400.0,22.0
16,4,2,York,340.0,330.0,10.0
17,4,3,Birmingham,404.0,400.0,4.0
18,4,4,Manchester,327.0,330.0,-3.0
19,4,5,Leeds,349.0,400.0,-51.0
