,Product,Description,Contains
0,Walkers Max Flamin Hot Crisps,Fiercely Flamin' Hot Flavour Ridged Potato Crisps,"Milk,Whey"
1,Smiths Frazzles Bacon Snacks,Crispy Bacon Flavour Corn Snack,"Milk,Lactose,Whey"
2,Sensations Thai Sweet Chilli,Thai Sweet Chilli Flavour Potato Crisps,Milk
3,Tesco 5 Pack Jam Doughnuts,Jam Doughnut 5PK,Milk
4,Krispy Kreme Original Glazed Doughnuts,Bring some light and fluffy joy into your day with our signature glazed doughnut.,"Milk,Egg"
5,Mcvities Dark Chocolate Digestives,Wheatmeal Biscuits Covered in Plain Chocolate,Milk
6,Tesco Jam Sandwich Creams Biscuit,Shortcake biscuits sandwiched with a vanilla flavour cream and raspberry jam,Milk
7,Cadbury Chocolate Fingers,Crisp Biscuits Covered with Cadbury Milk Chocolate,Milk
8,Lindt Lindor 60% Dark Chocolate Truffles,Extra dark chocolate with a smooth melting filling,"Milk,Lactose"
9,Lindt Excellence Mint Intense Dark Chocolate,Fine dark chocolate with an intense taste of mint,Milk
10,Belvita Soft Bakes Chocolate Chip,Soft baked biscuits made with wholegrain cereals and chocolate chips and added minerals.,Milk
11,Nature Valley Sweet & Salty Dark Chocolate With Nuts,"Chewy peanut, almond and oat bar with dark chocolate pieces (10%) dipped in a chocolate flavoured coating.","Milk,Honey,Lactose"
12,Alpen Light Summer Fruit Cereal Bars,"Mixed cereal bar with apple, sweetened cranberry, raspberry and strawberry juice, and a yoghurt flavour drizzle.","Milk,Lactose"
13,ASDA Guacamole,"Avocado dip with double cream, tomatoes, lime juice, coriander and chillies",Milk
14,Tesco Crunchy Cookie Cereal,Chocolate flavoured wheat and maize cereal fortified with vitamins and iron.,Milk
15,Kellogg's Crunchy Nut Peanut Butter Clusters,"Oat, Maize, Wheat and Peanut Clusters.",Milk
16,Fruittella Juicy Chews,"Assorted Chewy Sweets with Strawberry, Orange and Lemon Flavours",Gelatine
17,Haribo Jelly Beans,Assorted Flavour Sugar Coated Gums,Beeswax
18,Maynards Wine Gums,Fruit flavour gums.,Gelatine
