,Session #,Customer ID,Song Order,Date,Artist,Song
0,1,cd2834,1,2020-12-22 13:59:59.971,Wham!,Last Christmas
1,2,2de3d7,1,2020-12-22 15:00:00.000,Dolly Parton,9 To 5
2,2,2de3d7,2,2020-12-22 15:02:00.010,Camilla Cabello Ft. Young Thug,Havana
3,2,2de3d7,3,2020-12-22 15:04:00.019,Moana,How Far I’ll Go
4,3,6.99e+67,1,2020-12-22 18:00:00.000,Backstreet Boys,I Want It That Way
5,4,316313,1,2020-12-22 19:00:00.029,Alexandra Burke,Hallelujah
6,4,316313,2,2020-12-22 19:03:00.000,Luis Fonsi & Daddy Yankee,Despacito
7,4,316313,3,2020-12-22 19:05:00.010,The Lion King,Can You Feel The Love Tonight
8,4,316313,4,2020-12-22 19:07:00.019,Billie Eilish,Bad Guy
9,5,aa0846,1,2020-12-22 22:59:59.971,Lil Nas X,Old Town Road
10,5,aa0846,2,2020-12-22 23:03:00.029,ABBA,Dancing Queen
11,5,aa0846,3,2020-12-22 23:05:00.038,Alexandra Burke,Hallelujah
12,5,aa0846,4,2020-12-22 23:08:00.010,Aladdin,A Whole New World
13,5,aa0846,5,2020-12-22 23:10:59.981,Loren Allred,Never Enough (The Greatest Showman)
14,5,aa0846,6,2020-12-22 23:12:59.990,Aqua,Barbie Girl
15,5,aa0846,7,2020-12-22 23:15:00.000,Vanilla Ice,Ice Ice Baby
16,5,aa0846,8,2020-12-22 23:17:59.971,Mark Ronson Ft. Bruno Mars,Uptown Funk
17,6,7da7c9,1,2020-12-23 07:00:00.029,Robbie Williams,Angels
18,7,15885d,1,2020-12-23 07:59:59.971,Frank Sinatra,My Way
19,7,15885d,2,2020-12-23 08:03:00.029,Little Mix,Shout Out To My Ex
20,7,15885d,3,2020-12-23 08:06:00.000,Frank Sinatra,New York New York
21,7,15885d,4,2020-12-23 08:08:59.971,Ed Sheeran,Shape Of You
22,8,c02782,1,2020-12-23 12:00:00.000,Wham!,Last Christmas
23,8,c02782,2,2020-12-23 12:02:00.010,Ed Sheeran,Perfect
24,8,c02782,3,2020-12-23 12:04:00.019,Moana,How Far I’ll Go
25,8,c02782,4,2020-12-23 12:06:59.990,Lady Gaga & Bradley Cooper,Shallow
26,9,abae4d,1,2020-12-23 16:00:00.029,Moana,How Far I’ll Go
27,10,01fc7c,1,2020-12-23 16:59:59.971,Ike And Tina Turner,Proud Mary
28,10,01fc7c,2,2020-12-23 17:01:59.981,Whitney Houston,I Wanna Dance With Somebody
29,10,01fc7c,3,2020-12-23 17:05:00.038,The Proclaimers,I’m Gonna Be (500 Miles)
30,10,01fc7c,4,2020-12-23 17:08:00.010,Lady Gaga & Bradley Cooper,Shallow
31,10,01fc7c,5,2020-12-23 17:10:59.981,Pinkfong,Baby Shark
32,10,01fc7c,6,2020-12-23 17:14:00.038,The Lion King,I Just Can’t Wait To Be King
33,10,01fc7c,7,2020-12-23 17:15:59.962,The Proclaimers,I’m Gonna Be (500 Miles)
34,11,2e5db7,1,2020-12-24 01:00:00.029,John Denver,"Take Me Home, Country Roads"
35,12,4999af,1,2020-12-24 01:59:59.971,Loren Allred,Never Enough (The Greatest Showman)
36,12,4999af,2,2020-12-24 02:01:59.981,John Denver,"Take Me Home, Country Roads"
37,13,cdda70,1,2020-12-24 04:00:00.029,Shania Twain,Man! I Feel Like A Woman
38,13,cdda70,2,2020-12-24 04:03:00.000,Mariah Carey,All I Want For Christmas Is You
39,13,cdda70,3,2020-12-24 04:05:00.010,Loren Allred,Never Enough (The Greatest Showman)
40,13,cdda70,4,2020-12-24 04:07:00.019,Bonnie Tyler,Total Eclipse Of The Heart
41,14,51a416,1,2020-12-24 07:59:59.971,Ed Sheeran,Perfect
42,14,51a416,2,2020-12-24 08:01:59.981,Mariah Carey,All I Want For Christmas Is You
43,15,896f04,1,2020-12-24 10:00:00.029,Oasis,Don’t Look Back In Anger
44,16,d5fcf7,1,2020-12-24 10:59:59.971,The Beatles,Hey Jude
45,16,d5fcf7,2,2020-12-24 11:03:00.029,Aladdin,A Whole New World
46,16,d5fcf7,3,2020-12-24 11:06:00.000,Mark Ronson Ft. Bruno Mars,Uptown Funk
47,16,d5fcf7,4,2020-12-24 11:08:59.971,High School Musical,Breaking Free
48,17,c01ecb,1,2020-12-24 15:00:00.000,Ariana Grande,7 Rings
49,18,6eb0e1,1,2020-12-24 16:00:00.029,Oasis,Don’t Look Back In Anger
50,18,6eb0e1,2,2020-12-24 16:03:00.000,Shania Twain,Man! I Feel Like A Woman
51,18,6eb0e1,3,2020-12-24 16:05:59.971,Frozen,Let It Go
52,18,6eb0e1,4,2020-12-24 16:07:59.981,Pinkfong,Baby Shark
53,18,6eb0e1,5,2020-12-24 16:11:00.038,High School Musical,Breaking Free
54,18,6eb0e1,6,2020-12-24 16:14:00.010,Bryan Adams,Summer Of ’69
55,18,6eb0e1,7,2020-12-24 16:16:59.981,Ed Sheeran,Shape Of You
56,18,6eb0e1,8,2020-12-24 16:20:00.038,Dirty Dancing,The Time Of My Life
57,18,6eb0e1,9,2020-12-24 16:23:00.010,Ed Sheeran & Justin Bieber,I Don’t Care
58,18,6eb0e1,10,2020-12-24 16:25:59.981,Lewis Capaldi,Someone You Loved
59,19,adea16,1,2020-12-25 01:59:59.971,ABBA,Mamma Mia
60,20,bdc39c,1,2020-12-25 03:00:00.000,Backstreet Boys,Everybody
61,20,bdc39c,2,2020-12-25 03:02:00.010,Dolly Parton,Jolene
62,20,bdc39c,3,2020-12-25 03:04:00.019,Dua Lipa,New Rules
63,20,bdc39c,4,2020-12-25 03:06:59.990,Loren Allred,Never Enough (The Greatest Showman)
64,20,bdc39c,5,2020-12-25 03:09:00.000,John Denver,"Take Me Home, Country Roads"
65,20,bdc39c,6,2020-12-25 03:11:59.971,TLC,No Scrubs
66,20,bdc39c,7,2020-12-25 03:15:00.029,Lil Nas X,Old Town Road
67,20,bdc39c,8,2020-12-25 03:18:00.000,The Lion King,I Just Can’t Wait To Be King
68,20,bdc39c,9,2020-12-25 03:20:00.010,The Little Mermaid,Part Of Your World
69,20,bdc39c,10,2020-12-25 03:22:59.981,The Lion King,I Just Can’t Wait To Be King
70,20,bdc39c,11,2020-12-25 03:24:59.990,A-Ha,Take On Me
