,Rank,Area,Product Name,Revenue,% of Total - Product
0,3,Aberdeen,Hand Sanitiser,353,9.66
1,1,Aberdeen,"Soap, Bar",2507,68.63
2,2,Aberdeen,"Soap, Liquid",793,21.71
3,2,Arbroath,Hand Sanitiser,847,21.4
4,3,Arbroath,"Soap, Bar",687,17.35
5,1,Arbroath,"Soap, Liquid",2424,61.23
6,3,Ardgay,Hand Sanitiser,540,14.43
7,2,Ardgay,"Soap, Bar",1370,36.6
8,1,Ardgay,"Soap, Liquid",1833,48.97
9,1,Ashford (Kent),Hand Sanitiser,1026,45.46
10,3,Ashford (Kent),"Soap, Bar",510,22.6
11,2,Ashford (Kent),"Soap, Liquid",722,31.99
12,3,Aylesbury,Hand Sanitiser,815,18.76
13,2,Aylesbury,"Soap, Bar",883,20.33
14,1,Aylesbury,"Soap, Liquid",2646,60.92
15,3,Castle Douglas,Hand Sanitiser,412,12.81
16,1,Castle Douglas,"Soap, Bar",1465,45.55
17,2,Castle Douglas,"Soap, Liquid",1339,41.63
18,3,Cemmaes Road,Hand Sanitiser,1028,25.54
19,2,Cemmaes Road,"Soap, Bar",1137,28.25
20,1,Cemmaes Road,"Soap, Liquid",1859,46.19
21,3,Colwyn Bay,Hand Sanitiser,401,12.2
22,2,Colwyn Bay,"Soap, Bar",441,13.42
23,1,Colwyn Bay,"Soap, Liquid",2444,74.37
24,3,Darlington,Hand Sanitiser,469,17.23
25,1,Darlington,"Soap, Bar",1661,61.03
26,2,Darlington,"Soap, Liquid",592,21.75
27,3,Dorchester,Hand Sanitiser,250,4.49
28,2,Dorchester,"Soap, Bar",1815,32.59
29,1,Dorchester,"Soap, Liquid",3504,62.92
30,3,Edinburgh,Hand Sanitiser,712,23.34
31,1,Edinburgh,"Soap, Bar",1247,40.87
32,2,Edinburgh,"Soap, Liquid",1092,35.79
33,2,Ellon,Hand Sanitiser,909,33.68
34,1,Ellon,"Soap, Bar",1192,44.16
35,3,Ellon,"Soap, Liquid",598,22.15
36,2,Enniskillen,Hand Sanitiser,996,31.79
37,3,Enniskillen,"Soap, Bar",928,29.62
38,1,Enniskillen,"Soap, Liquid",1209,38.58
39,2,Great Yarmouth,Hand Sanitiser,1152,34.23
40,3,Great Yarmouth,"Soap, Bar",1024,30.43
41,1,Great Yarmouth,"Soap, Liquid",1190,35.36
42,3,Guernsey,Hand Sanitiser,263,6.83
43,2,Guernsey,"Soap, Bar",1702,44.21
44,1,Guernsey,"Soap, Liquid",1885,48.96
45,2,Haverfordwest,Hand Sanitiser,721,26.77
46,3,Haverfordwest,"Soap, Bar",191,7.09
47,1,Haverfordwest,"Soap, Liquid",1781,66.12
48,2,Helmsley,Hand Sanitiser,774,24.48
49,3,Helmsley,"Soap, Bar",587,18.57
50,1,Helmsley,"Soap, Liquid",1800,56.94
